Ulaanbaatar Standard Time | (UTC+08:00) Ulaanbaatar | 08:00:00 | Ulaanbaatar Standard Time
Aus Central W. Standard Time | (UTC+08:45) Eucla | 08:45:00 | Aus Central W. Standard Time
Transbaikal Standard Time | (UTC+09:00) Chita | 09:00:00 | Transbaikal Standard Time
Tokyo Standard Time | (UTC+09:00) Osaka, Sapporo, Tokyo | 09:00:00 | Tokyo Standard Time
North Korea Standard Time | (UTC+09:00) Pyongyang | 09:00:00 | North Korea Standard Time
Korea Standard Time | (UTC+09:00) Seoul | 09:00:00 | Korea Standard Time
Yakutsk Standard Time | (UTC+09:00) Yakutsk | 09:00:00 | Russia TZ 8 Standard Time
Cen. Australia Standard Time | (UTC+09:30) Adelaide | 09:30:00 | Cen. Australia Standard Time
AUS Central Standard Time | (UTC+09:30) Darwin | 09:30:00 | AUS Central Standard Time
E. Australia Standard Time | (UTC+10:00) Brisbane | 10:00:00 | E. Australia Standard Time
AUS Eastern Standard Time | (UTC+10:00) Canberra, Melbourne, Sydney | 10:00:00 | AUS Eastern Standard Time
West Pacific Standard Time | (UTC+10:00) Guam, Port Moresby | 10:00:00 | West Pacific Standard Time
Tasmania Standard Time | (UTC+10:00) Hobart | 10:00:00 | Tasmania Standard Time
Vladivostok Standard Time | (UTC+10:00) Vladivostok | 10:00:00 | Russia TZ 9 Standard Time
Lord Howe Standard Time | (UTC+10:30) Lord Howe Island | 10:30:00 | Lord Howe Standard Time
Bougainville Standard Time | (UTC+11:00) Bougainville Island | 11:00:00 | Bougainville Standard Time
Russia Time Zone 10 | (UTC+11:00) Chokurdakh | 11:00:00 | Russia TZ 10 Standard Time
Magadan Standard Time | (UTC+11:00) Magadan | 11:00:00 | Magadan Standard Time
Norfolk Standard Time | (UTC+11:00) Norfolk Island | 11:00:00 | Norfolk Standard Time
Sakhalin Standard Time | (UTC+11:00) Sakhalin | 11:00:00 | Sakhalin Standard Time
Central Pacific Standard Time | (UTC+11:00) Solomon Is., New Caledonia | 11:00:00 | Central Pacific Standard Time
Russia Time Zone 11 | (UTC+12:00) Anadyr, Petropavlovsk-Kamchatsky | 12:00:00 | Russia TZ 11 Standard Time
New Zealand Standard Time | (UTC+12:00) Auckland, Wellington | 12:00:00 | New Zealand Standard Time
UTC+12 | (UTC+12:00) Coordinated Universal Time+12 | 12:00:00 | UTC+12
Fiji Standard Time | (UTC+12:00) Fiji | 12:00:00 | Fiji Standard Time
Kamchatka Standard Time | (UTC+12:00) Petropavlovsk-Kamchatsky - Old | 12:00:00 | Kamchatka Standard Time
Chatham Islands Standard Time | (UTC+12:45) Chatham Islands | 12:45:00 | Chatham Islands Standard Time
UTC+13 | (UTC+13:00) Coordinated Universal Time+13 | 13:00:00 | UTC+13
Tonga Standard Time | (UTC+13:00) Nuku'alofa | 13:00:00 | Tonga Standard Time
Samoa Standard Time | (UTC+13:00) Samoa | 13:00:00 | Samoa Standard Time
Line Islands Standard Time | (UTC+14:00) Kiritimati Island | 14:00:00 | Line Islands Standard Time
